loss,accuracy,lr
2.3849027156829834,0.07000000029802322,0.001
2.2440850734710693,0.10000000149011612,0.001
2.165161609649658,0.15000000596046448,0.001
2.1055736541748047,0.2199999988079071,0.001
2.051222801208496,0.27000001072883606,0.001
2.006518602371216,0.28999999165534973,0.001
1.941174030303955,0.3199999928474426,0.001
1.9209353923797607,0.3799999952316284,0.001
1.8666443824768066,0.41999998688697815,0.001
1.8342584371566772,0.4399999976158142,0.001
1.7931032180786133,0.46000000834465027,0.001
1.7599023580551147,0.44999998807907104,0.001
1.7333248853683472,0.4399999976158142,0.001
1.6991244554519653,0.4699999988079071,0.001
1.6652908325195312,0.49000000953674316,0.001
1.6434861421585083,0.46000000834465027,0.001
1.6123127937316895,0.46000000834465027,0.001
1.5977537631988525,0.47999998927116394,0.001
1.572848916053772,0.5,0.001
1.5601733922958374,0.5099999904632568,0.001
1.5360430479049683,0.4699999988079071,0.001
1.5498690605163574,0.46000000834465027,0.001
1.5384896993637085,0.4699999988079071,0.001
1.484682321548462,0.49000000953674316,0.001
1.4631930589675903,0.5099999904632568,0.001
1.4442460536956787,0.5099999904632568,0.001
1.4266700744628906,0.5099999904632568,0.001
1.4129916429519653,0.5299999713897705,0.001
1.397542119026184,0.5099999904632568,0.001
1.3936816453933716,0.5699999928474426,0.001
1.3648571968078613,0.5799999833106995,0.001
1.351511836051941,0.5899999737739563,0.001
1.3327022790908813,0.6000000238418579,0.001
1.3214880228042603,0.6000000238418579,0.001
1.3333326578140259,0.5799999833106995,0.001
1.3014448881149292,0.6399999856948853,0.001
1.3041203022003174,0.6100000143051147,0.001
1.276770830154419,0.6000000238418579,0.001
1.273226261138916,0.6399999856948853,0.001
1.2678297758102417,0.550000011920929,0.001
1.2673523426055908,0.5799999833106995,0.001
1.2709389925003052,0.5199999809265137,0.001
1.2225921154022217,0.6100000143051147,0.001
1.1997194290161133,0.5600000023841858,0.001
1.1971406936645508,0.5799999833106995,0.001
1.1931005716323853,0.6299999952316284,0.001
1.1785695552825928,0.5699999928474426,0.001
1.156341791152954,0.6499999761581421,0.001
1.1467280387878418,0.6600000262260437,0.001
1.1576321125030518,0.6299999952316284,0.001
1.127274990081787,0.5899999737739563,0.001
1.1373281478881836,0.5799999833106995,0.001
