loss,accuracy,lr
0.6809605360031128,0.6499999761581421,0.001
0.5935200452804565,0.8500000238418579,0.001
0.5391044616699219,0.8999999761581421,0.001
0.4967377185821533,0.8999999761581421,0.001
0.4606448709964752,0.8999999761581421,0.001
0.42910638451576233,0.8999999761581421,0.001
0.4011037349700928,0.949999988079071,0.001
0.37636998295783997,0.949999988079071,0.001
0.3547675311565399,0.949999988079071,0.001
0.33564233779907227,0.949999988079071,0.001
0.3188907206058502,0.949999988079071,0.001
0.30373457074165344,0.949999988079071,0.001
0.28958743810653687,0.949999988079071,0.001
0.27640384435653687,0.949999988079071,0.001
0.2640484869480133,0.949999988079071,0.001
0.25252988934516907,0.949999988079071,0.001
0.2415066510438919,0.949999988079071,0.001
0.23087671399116516,0.949999988079071,0.001
0.22049586474895477,0.949999988079071,0.001
0.2103554755449295,0.949999988079071,0.001
0.20045605301856995,1.0,0.001
0.190839946269989,1.0,0.001
0.18142172694206238,1.0,0.001
0.17233429849147797,1.0,0.001
0.16350524127483368,1.0,0.001
0.15504659712314606,1.0,0.001
0.146913081407547,1.0,0.001
0.13907311856746674,1.0,0.001
0.13166438043117523,1.0,0.001
0.12460605800151825,1.0,0.001
0.11781451851129532,1.0,0.001
0.11125224828720093,1.0,0.001
0.10491223633289337,1.0,0.001
0.09880989789962769,1.0,0.001
0.09299559891223907,1.0,0.001
0.08739224821329117,1.0,0.001
0.08202556520700455,1.0,0.001
0.07700265198945999,1.0,0.001
0.07227928936481476,1.0,0.001
0.06784728914499283,1.0,0.001
0.06365268677473068,1.0,0.001
0.059722959995269775,1.0,0.001
0.05604858323931694,1.0,0.001
0.05264482647180557,1.0,0.001
0.049474697560071945,1.0,0.001
0.0465448759496212,1.0,0.001
0.043799132108688354,1.0,0.001
0.041219763457775116,1.0,0.001
0.03880388289690018,1.0,0.001
0.03655221313238144,1.0,0.001
0.03448309749364853,1.0,0.001
0.032573964446783066,1.0,0.001
0.0308036170899868,1.0,0.001
0.029162827879190445,1.0,0.001
0.02764146588742733,1.0,0.001
0.0262224730104208,1.0,0.001
0.024905214086174965,1.0,0.001
0.023676535114645958,1.0,0.001
0.022524293512105942,1.0,0.001
0.021446814760565758,1.0,0.001
0.020444976165890694,1.0,0.001
0.01951330527663231,1.0,0.001
0.01864352636039257,1.0,0.001
0.0178323145955801,1.0,0.001
0.017075415700674057,1.0,0.001
0.01636890508234501,1.0,0.001
0.015706228092312813,1.0,0.001
0.015082466416060925,1.0,0.001
0.014495005831122398,1.0,0.001
0.013945305719971657,1.0,0.001
0.013429595157504082,1.0,0.001
0.0129453856498003,1.0,0.001
0.012490657158195972,1.0,0.001
0.012061524204909801,1.0,0.001
0.01165594719350338,1.0,0.001
0.01127307303249836,1.0,0.001
0.010910403914749622,1.0,0.001
0.010567715391516685,1.0,0.001
0.010244343429803848,1.0,0.001
0.009937929920852184,1.0,0.001
0.009647058323025703,1.0,0.001
0.009370924904942513,1.0,0.001
0.009107408113777637,1.0,0.001
0.008856823667883873,1.0,0.001
0.008618876338005066,1.0,0.001
0.0083929393440485,1.0,0.001
0.008176997303962708,1.0,0.001
0.007970466278493404,1.0,0.001
0.007772344164550304,1.0,0.001
0.0075825974345207214,1.0,0.001
0.007401805371046066,1.0,0.001
0.00722901988774538,1.0,0.001
0.00706429174169898,1.0,0.001
0.006905943155288696,1.0,0.001
0.006753749214112759,1.0,0.001
0.0066071683540940285,1.0,0.001
0.006466478109359741,1.0,0.001
0.0063315765000879765,1.0,0.001
0.0062018511816859245,1.0,0.001
0.006076945457607508,1.0,0.001
0.00595604395493865,1.0,0.001
0.005839483346790075,1.0,0.001
0.0057271188125014305,1.0,0.001
0.005618598777800798,1.0,0.001
0.005513697862625122,1.0,0.001
0.00541204959154129,1.0,0.001
0.005313679575920105,1.0,0.001
0.005218478851020336,1.0,0.001
0.005126559175550938,1.0,0.001
0.005037704948335886,1.0,0.001
0.004951260052621365,1.0,0.001
0.004867651499807835,1.0,0.001
0.004786885809153318,1.0,0.001
0.0047083161771297455,1.0,0.001
0.0046319663524627686,1.0,0.001
0.004558011889457703,1.0,0.001
0.004486546851694584,1.0,0.001
0.004417012445628643,1.0,0.001
0.004349318332970142,1.0,0.001
0.004283463582396507,1.0,0.001
0.004219460301101208,1.0,0.001
0.0041571310721337795,1.0,0.001
0.004096374846994877,1.0,0.001
0.0040372200310230255,1.0,0.001
0.003979607485234737,1.0,0.001
0.003923431038856506,1.0,0.001
0.0038685202598571777,1.0,0.001
0.003814851166680455,1.0,0.001
0.003762484062463045,1.0,0.001
0.0037114196456968784,1.0,0.001
0.0036616926081478596,1.0,0.001
0.0036131092347204685,1.0,0.001
0.003565502818673849,1.0,0.001
0.0035188912879675627,1.0,0.001
0.0034733284264802933,1.0,0.001
0.0034289020113646984,1.0,0.001
0.003385394811630249,1.0,0.001
0.0033427991438657045,1.0,0.001
0.003301085438579321,1.0,0.001
0.0032602783758193254,1.0,0.001
0.0032202652655541897,1.0,0.001
0.003181011648848653,1.0,0.001
0.003142551751807332,1.0,0.001
0.003104850184172392,1.0,0.001
0.0030678529292345047,1.0,0.001
0.003031566273421049,1.0,0.001
0.002996056107804179,1.0,0.001
0.002961240243166685,1.0,0.001
0.0029270637314766645,1.0,0.001
0.0028935272712260485,1.0,0.001
0.0028606546111404896,1.0,0.001
0.0028283933643251657,1.0,0.001
0.0027967304922640324,1.0,0.001
0.002765708602964878,1.0,0.001
0.00273527973331511,1.0,0.001
0.002705420833081007,1.0,0.001
0.002676113275811076,1.0,0.001
0.002647292334586382,1.0,0.001
0.0026189933996647596,1.0,0.001
0.0025912043638527393,1.0,0.001
0.0025638665538281202,1.0,0.001
0.002537027234211564,1.0,0.001
0.0025106798857450485,1.0,0.001
0.002484765835106373,1.0,0.001
0.002459285082295537,1.0,0.001
0.0024342432152479887,1.0,0.001
0.0024095517583191395,1.0,0.001
0.0023852575104683638,1.0,0.001
0.002361349295824766,1.0,0.001
0.0023378324694931507,1.0,0.001
0.0023147016763687134,1.0,0.001
0.0022918672766536474,1.0,0.001
0.002269430784508586,1.0,0.001
0.002247361931949854,1.0,0.001
0.0022256497759371996,1.0,0.001
0.002204298973083496,1.0,0.001
0.0021832871716469526,1.0,0.001
0.0021625894587486982,1.0,0.001
0.0021422305144369602,1.0,0.001
0.0021221861243247986,1.0,0.001
0.0021025154273957014,1.0,0.001
0.002083112485706806,1.0,0.001
0.0020640059374272823,1.0,0.001
0.002045172732323408,1.0,0.001
0.0020266128703951836,1.0,0.001
0.0020083258859813213,1.0,0.001
0.0019903182983398438,1.0,0.001
0.0019725600723177195,1.0,0.001
0.001955027226358652,1.0,0.001
0.001937785535119474,1.0,0.001
0.0019207813311368227,1.0,0.001
0.0019040207844227552,1.0,0.001
0.0018875272944569588,1.0,0.001
0.0018712657038122416,1.0,0.001
0.0018552296096459031,1.0,0.001
0.001839467091485858,1.0,0.001
0.0018239006167277694,1.0,0.001
0.0018085421761497855,1.0,0.001
0.001793391420505941,1.0,0.001
0.0017784545198082924,1.0,0.001
0.001763689680956304,1.0,0.001
0.0017491269391030073,1.0,0.001
0.0017347425455227494,1.0,0.001
0.0017205544281750917,1.0,0.001
0.0017065741121768951,1.0,0.001
0.0016927600372582674,1.0,0.001
0.0016791184898465872,1.0,0.001
0.0016656666994094849,1.0,0.001
0.0016523636877536774,1.0,0.001
0.0016392746474593878,1.0,0.001
0.0016263223951682448,1.0,0.001
0.0016135243931785226,1.0,0.001
0.0016008870443329215,1.0,0.001
0.0015884221065789461,1.0,0.001
0.0015760936075821519,1.0,0.001
0.0015639137709513307,1.0,0.001
0.0015519002918154001,1.0,0.001
0.0015399940311908722,1.0,0.001
0.0015282423701137304,1.0,0.001
0.0015166571829468012,1.0,0.001
0.001505160704255104,1.0,0.001
0.0014937950763851404,1.0,0.001
0.001482590101659298,1.0,0.001
0.0014715098077431321,1.0,0.001
0.0014605604810640216,1.0,0.001
0.0014497360680252314,1.0,0.001
0.0014390482101589441,1.0,0.001
0.0014284733915701509,1.0,0.001
0.0014180291909724474,1.0,0.001
0.0014076982624828815,1.0,0.001
0.0013974921312183142,1.0,0.001
0.001387398922815919,1.0,0.001
0.0013774244580417871,1.0,0.001
0.0013675212394446135,1.0,0.001
0.0013577432837337255,1.0,0.001
0.0013480661436915398,1.0,0.001
0.0013384900521486998,1.0,0.001
0.0013290269998833537,1.0,0.001
0.0013196886284276843,1.0,0.001
0.0013104276731610298,1.0,0.001
0.001301273819990456,1.0,0.001
0.0012921972665935755,1.0,0.001
0.0012832395732402802,1.0,0.001
0.001274365116842091,1.0,0.001
0.0012655917089432478,1.0,0.001
0.00125686579849571,1.0,0.001
0.0012482769088819623,1.0,0.001
0.0012397533282637596,1.0,0.001
0.0012313248589634895,1.0,0.001
0.0012229916173964739,1.0,0.001
0.0012147772358730435,1.0,0.001
0.0012066045310348272,1.0,0.001
0.0011985504534095526,1.0,0.001
0.0011905741412192583,1.0,0.001
0.0011826748959720135,1.0,0.001
0.0011748529504984617,1.0,0.001
0.0011671262327581644,1.0,0.001
0.0011594590032473207,1.0,0.001
0.0011518988758325577,1.0,0.001
0.001144428038969636,1.0,0.001
0.001136974897235632,1.0,0.001
0.0011296228040009737,1.0,0.001
0.0011223303154110909,1.0,0.001
0.001115109189413488,1.0,0.001
0.0011079475516453385,1.0,0.001
0.001100857276469469,1.0,0.001
0.0010938562918454409,1.0,0.001
0.0010869147954508662,1.0,0.001
0.0010800209129229188,1.0,0.001
0.0010732043301686645,1.0,0.001
0.001066465163603425,1.0,0.001
0.001059773494489491,1.0,0.001
0.0010531294392421842,1.0,0.001
0.0010465803788974881,1.0,0.001
0.0010400851024314761,1.0,0.001
0.0010336610721424222,1.0,0.001
0.0010272847721353173,1.0,0.001
0.0010209321044385433,1.0,0.001
0.0010146747808903456,1.0,0.001
0.00100845901761204,1.0,0.001
0.00100230285897851,1.0,0.001
0.0009961940813809633,1.0,0.001
0.0009901628363877535,1.0,0.001
0.0009841850260272622,1.0,0.001
0.0009782251436263323,1.0,0.001
0.000972360372543335,1.0,0.001
0.0009665312245488167,1.0,0.001
0.0009607379324734211,1.0,0.001
0.0009550160029903054,1.0,0.001
0.0009493475663475692,1.0,0.001
0.0009437088156118989,1.0,0.001
0.0009381535346619785,1.0,0.001
0.0009326100116595626,1.0,0.001
0.0009271558374166489,1.0,0.001
0.000921737402677536,1.0,0.001
0.0009163605282083154,1.0,0.001
0.0009110491955652833,1.0,0.001
0.0009057734278030694,1.0,0.001
0.0009005393949337304,1.0,0.001
0.0008953469805419445,1.0,0.001
0.0008902259287424386,1.0,0.001
0.0008851407328620553,1.0,0.001
0.0008800911018624902,1.0,0.001
0.0008750951965339482,1.0,0.001
0.0008701526676304638,1.0,0.001
0.0008652458782307804,1.0,0.001
0.0008603868191130459,1.0,0.001
0.0008555574459023774,1.0,0.001
0.0008507875027135015,1.0,0.001
0.0008460354874841869,1.0,0.001
0.0008413310861214995,1.0,0.001
0.0008366742986254394,1.0,0.001
0.0008320769993588328,1.0,0.001
