loss,accuracy,lr
0.7044289708137512,0.2857142984867096,0.001
0.6514320373535156,0.8214285969734192,0.001
0.6121200919151306,0.8571428656578064,0.001
0.5812392830848694,0.8571428656578064,0.001
0.5563696026802063,0.8571428656578064,0.001
0.5345551371574402,0.8571428656578064,0.001
0.5145982503890991,0.8571428656578064,0.001
0.49769824743270874,0.8571428656578064,0.001
0.48448631167411804,0.8571428656578064,0.001
0.4735165238380432,0.8571428656578064,0.001
0.4646415114402771,0.8571428656578064,0.001
0.4573281705379486,0.8571428656578064,0.001
0.4501502811908722,0.8571428656578064,0.001
0.44316843152046204,0.8571428656578064,0.001
0.43676742911338806,0.8571428656578064,0.001
0.43074846267700195,0.8571428656578064,0.001
0.42479243874549866,0.8571428656578064,0.001
0.41876956820487976,0.8571428656578064,0.001
0.41300681233406067,0.8571428656578064,0.001
0.40736517310142517,0.8571428656578064,0.001
0.40180039405822754,0.8571428656578064,0.001
0.3955361545085907,0.8571428656578064,0.001
0.38861799240112305,0.8571428656578064,0.001
0.38164448738098145,0.8571428656578064,0.001
0.3750831186771393,0.8571428656578064,0.001
0.3692987263202667,0.8571428656578064,0.001
0.36329594254493713,0.8571428656578064,0.001
0.3572424352169037,0.8571428656578064,0.001
0.3507775664329529,0.8571428656578064,0.001
0.3436881899833679,0.8571428656578064,0.001
0.3368318974971771,0.8571428656578064,0.001
0.32989996671676636,0.8571428656578064,0.001
0.3227211534976959,0.8571428656578064,0.001
0.31586843729019165,0.8571428656578064,0.001
0.30922892689704895,0.8571428656578064,0.001
0.30225321650505066,0.8571428656578064,0.001
0.295453816652298,0.8571428656578064,0.001
0.28810563683509827,0.8571428656578064,0.001
0.2809469699859619,0.8571428656578064,0.001
0.27336928248405457,0.8571428656578064,0.001
0.26539865136146545,0.8571428656578064,0.001
0.25755006074905396,0.8571428656578064,0.001
0.25054875016212463,0.8928571343421936,0.001
0.2470131665468216,0.8571428656578064,0.001
0.24112752079963684,0.9642857313156128,0.001
0.2303001880645752,0.8571428656578064,0.001
0.2227410227060318,0.8571428656578064,0.001
0.21699145436286926,1.0,0.001
0.20605362951755524,0.9642857313156128,0.001
0.20195111632347107,0.8928571343421936,0.001
0.19564931094646454,1.0,0.001
0.1901026964187622,1.0,0.001
0.18135800957679749,0.9642857313156128,0.001
0.17328013479709625,1.0,0.001
0.16932252049446106,1.0,0.001
0.1603602021932602,1.0,0.001
0.15537762641906738,1.0,0.001
0.14876529574394226,1.0,0.001
0.14116203784942627,1.0,0.001
0.1371009200811386,1.0,0.001
0.1301734745502472,1.0,0.001
0.12521837651729584,1.0,0.001
0.11758322268724442,1.0,0.001
0.11395890265703201,1.0,0.001
0.1079854816198349,1.0,0.001
0.10223596543073654,1.0,0.001
0.09813230484724045,1.0,0.001
0.09327090531587601,1.0,0.001
0.08911829441785812,1.0,0.001
0.08574419468641281,1.0,0.001
0.08273578435182571,1.0,0.001
0.08142698556184769,1.0,0.001
0.076043501496315,1.0,0.001
0.07557455450296402,1.0,0.001
0.07404548674821854,1.0,0.001
0.06802408397197723,1.0,0.001
0.06616619974374771,1.0,0.001
0.06553556770086288,1.0,0.001
0.06021649017930031,1.0,0.001
0.05603693798184395,1.0,0.001
0.06223204359412193,1.0,0.001
0.06662043184041977,1.0,0.001
0.05342388153076172,1.0,0.001
0.05252055451273918,1.0,0.001
0.05044320598244667,1.0,0.001
0.0448526069521904,1.0,0.001
0.04755213484168053,1.0,0.001
0.04219541326165199,1.0,0.001
0.03860413283109665,1.0,0.001
0.038955558091402054,1.0,0.001
0.03726538270711899,1.0,0.001
0.034090716391801834,1.0,0.001
0.03388955816626549,1.0,0.001
0.03223080560564995,1.0,0.001
0.03170960769057274,1.0,0.001
0.02926946058869362,1.0,0.001
0.02793498896062374,1.0,0.001
0.027992768213152885,1.0,0.001
0.02583310380578041,1.0,0.001
0.02553587034344673,1.0,0.001
0.023983854800462723,1.0,0.001
0.02409680373966694,1.0,0.001
0.02272842265665531,1.0,0.001
0.02161378599703312,1.0,0.001
0.021429231390357018,1.0,0.001
0.020665498450398445,1.0,0.001
0.019805965945124626,1.0,0.001
0.01941986195743084,1.0,0.001
